uniprot_id	bulk_abundance	new_single_cell_F1	new_single_cell_F3	new_single_cell_F5	new_single_cell_F7	new_single_cell_F9	new_single_cell_F11	new_single_cell_F13	new_single_cell_F15	new_single_cell_F17	new_single_cell_F19	old_single_cell_F3	old_single_cell_F4	old_single_cell_F5	query_id	score
A0A087WW65	122328.872054233	False	False	False	False	False	False	False	False	False	False	False	False	False	A0A087WW65	1.0
A0A087WW66	508.414352043688	False	False	False	False	False	False	False	False	False	False	False	False	False	A0A087WW66	2.0
A0A087WW73	594.659631244217	False	False	False	False	False	False	False	False	False	False	False	False	False	A0A087WW73	3.0
A0A087WW76	18.069389472324	False	False	False	False	False	False	False	False	False	False	False	False	False	A0A087WW76	2.0
A0A087WW89	10965.7305964006	False	False	False	False	False	False	False	False	False	False	False	False	False	A0A0B4J1Y9	4.0
A0A087WW96	21457.3316693407	False	False	False	False	False	False	False	False	False	False	False	False	False	Q92777	5.0
A0A087WWA3	102.727537613429	False	False	False	False	False	False	False	False	False	False	False	False	False	A0A087WWA3	2.0
A0A087WWA5	200.598362155732	False	False	False	False	False	False	False	False	False	False	False	False	False	A0A087WWA5	2.0
A0A087WWB9	144867.004224629	False	False	False	False	False	False	False	False	False	False	False	False	False	A0A087WWB9	2.0
A0A087WWF4	1443.73823013833	False	False	False	False	False	False	False	False	False	False	False	False	False	A0A087WWF4	1.0
A0A087WWF6	354764.47576773	False	False	False	False	False	False	False	False	False	False	False	False	False	A0A087WWF6	2.0
A0A087WWH0	37861.6461170355	False	False	False	False	False	False	False	False	False	False	False	False	False	A0A087WWH0	1.0
A0A087WWI6	115916.620977196	False	False	False	False	False	False	False	False	False	False	False	False	False	A0A087WWI6	1.0
A0A087WWK8	6312.00067265126	False	False	False	False	False	False	False	False	False	False	False	False	False	Q6DN90	5.0
A0A087WWL5	2518.52797374353	False	False	False	False	False	False	False	False	False	False	False	False	False	Q86XI8	2.0
A0A087WWM0	150045.456522327	False	False	False	False	False	False	False	False	False	False	False	False	False	A0A087WWM0	2.0
A0A087WWP4	87403.5720821404	False	False	False	False	False	False	False	False	False	False	False	False	False	A0A087WWP4	2.0
A0A087WWP8	10185.0330601731	False	False	False	False	False	False	False	False	False	False	False	False	False	A0A087WWP8	2.0
A0A087WWQ2	694786.180340881	False	False	False	False	False	False	False	False	False	False	False	False	False	A0A087WWQ2	1.0
A0A087WWQ8	18683.9593254001	False	False	False	False	False	False	False	False	False	False	False	False	False	Q9BWK5	5.0
A0A087WWT1	805846.088246953	False	False	False	False	False	False	False	False	False	False	False	False	False	A0A087WWT1	3.0
A0A087WWT4	22661.4001722745	False	False	False	False	False	False	False	False	False	False	False	False	False	A0A087WWT4	0.0
A0A087WWV5	43411.7643126523	False	False	False	False	False	False	False	False	False	False	False	False	False	A0A087WWV5	1.0
A0A087WWW9	2979.05255559446	False	False	False	False	False	False	False	False	False	False	False	False	False	A0A087WWW9	1.0
A0A087WWX5	985.786156652281	False	False	False	False	False	False	False	False	False	False	False	False	False	A0A087WWX5	1.0
A0A087WWY4	8729.82721703279	False	False	False	False	False	False	False	False	False	False	False	False	False	A0A087WWY4	2.0
A0A087WX08	15989.1740988502	False	False	False	False	False	False	False	False	False	False	False	False	False	A0A087WX08	0.0
A0A087WX14	64598.8873654691	False	False	False	False	False	False	False	False	False	False	False	False	False	A0A087WX14	1.0
A0A087WX23	384773.668499862	False	False	False	False	False	False	False	False	False	False	False	False	False	A0A087WX23	2.0
A0A087WX41	2669.92622125693	False	False	False	False	False	False	False	False	False	False	False	False	False	A0A087WX41	2.0
A0A087WX59	715559.562078753	False	False	False	False	False	False	False	False	False	False	False	False	False	A0A087WX59	2.0
A0A087WX60	14390.6019529276	False	False	False	False	False	False	False	False	False	False	False	False	False	A0A087WX60	1.0
A0A087WX71	35735.3955485747	False	False	False	False	False	False	False	False	False	False	False	False	False	A0A087WX71	1.0
A0A087WX89	2576.01442348351	False	False	False	False	False	False	False	False	False	False	False	False	False	A0A087WX89	1.0
A0A087WX93	476642.65449574	False	False	False	False	False	False	False	False	False	False	False	False	False	A0A087WX93	1.0
A0A087WXC5	278803.143201763	False	False	False	False	False	False	False	False	False	False	False	False	False	A0A087WXC5	2.0
A0A087WXI0	637.875170538237	False	False	False	False	False	False	False	False	False	False	False	False	False	Q7Z6P3	3.0
A0A087WXK3	27988.8231121419	False	False	False	False	False	False	False	False	False	False	False	False	False	A0A087WXK3	1.0
A0A087WXM6	9293.93042793242	False	False	False	False	False	False	False	False	False	False	False	False	False	A0A087WXM6	1.0
A0A087WXQ8	1576187.5323602	False	False	False	False	False	False	False	False	False	False	False	False	False	A0A087WXQ8	2.0
A0A087WXS7	593336.11938834	False	False	False	False	False	False	False	False	False	False	False	False	False	A0A087WXS7	0.0
A0A087WXT2	175123.636129817	False	False	False	False	False	False	False	False	False	False	False	False	False	A0A087WXT2	0.0
A0A087WXT7	571.224938451488	False	False	False	False	False	False	False	False	False	False	False	False	False	Q86XN6	3.0
A0A087WXW9	41949.5714318786	False	False	False	False	False	False	False	False	False	False	False	False	False	P20908	5.0
A0A087WXY1	1051386.30950871	False	False	False	False	False	False	False	False	False	False	False	False	False	A0A087WXY1	0.0
A0A087WY49	39408.5870730703	False	False	False	False	False	False	False	False	False	False	False	False	False	A0A087WY49	2.0
A0A087WY61	5635.97526020594	False	False	False	False	False	False	False	False	False	False	False	False	False	A0A087WY61	0.0
A0A087WY71	1488.95083785989	False	False	False	False	False	False	False	False	False	False	False	False	False	A0A087WY71	3.0
A0A087WY82	11298.1877296777	False	False	False	False	False	False	False	False	False	False	False	False	False	A0A087WY82	2.0
A0A087WY88	46213.0059276097	False	False	False	False	False	False	False	False	False	False	False	False	False	A0A087WY88	0.0
A0A087WY99	15269.8741771788	False	False	False	False	False	False	False	False	False	False	False	False	False	A0A087WY99	1.0
A0A087WYB4	1483311.52647398	False	False	False	False	False	False	False	False	False	False	False	False	False	A0A087WYB4	1.0
A0A087WYC0	542.156491361575	False	False	False	False	False	False	False	False	False	False	False	False	False	A0A087WYC0	1.0
A0A087WYC1	1896650.03346326	False	False	False	False	False	False	False	False	False	False	False	False	False	A0A087WYC1	0.0
A0A087WYC8	84854.3731597371	False	False	False	False	False	False	False	False	False	False	False	False	False	A0A087WYC8	0.0
A0A087WYE6	19970.643025286	False	False	False	False	False	False	False	False	False	False	False	False	False	A0A087WYE6	0.0
A0A087WYF2	165893.579534928	False	False	False	False	False	False	False	False	False	False	False	False	False	A0A087WYF2	2.0
A0A087WYF6	410.346219315126	False	False	False	False	False	False	False	False	False	False	False	False	False	A0A087WYF6	2.0
A0A087WYF7	281810.200512125	False	False	False	False	False	False	False	False	False	False	False	False	False	A0A087WYF7	0.0
A0A087WYJ1	649441.513278713	False	False	False	False	False	False	False	False	False	False	False	False	False	A0A087WYJ1	0.0
A0A087WYK6	120.318736497826	False	False	False	False	False	False	False	False	False	False	False	False	False	A0A087WYK6	1.0
A0A087WYN3	4881.16926846242	False	False	False	False	False	False	False	False	False	False	False	False	False	A0A087WYN3	1.0
A0A087WYN6	122033.547511091	False	False	False	False	False	False	False	False	False	False	False	False	False	A0A087WYN6	1.0
A0A087WYN9	122027.793111717	False	False	False	False	False	False	False	False	False	False	False	False	False	A0A087WYN9	0.0
A0A087WYQ3	380112.605007432	False	False	False	False	False	False	False	False	False	False	False	False	False	A0A087WYQ3	2.0
A0A087WYR3	18397.6503085653	False	False	False	False	False	False	False	False	False	False	False	False	False	A0A087WYR3	1.0
A0A087WYS3	815.93519702635	False	False	False	False	False	False	False	False	False	False	False	False	False	A0A087WYS3	2.0
A0A087WYT3	3510183.61775666	False	False	False	False	False	False	False	False	False	False	False	False	False	A0A087WYT3	2.0
A0A087WYT5	58412.9080390948	False	False	False	False	False	False	False	False	False	False	False	False	False	A0A087WYT5	1.0
A0A087WYV9	360271.435968046	False	False	False	False	False	False	False	False	False	False	False	False	False	A0A087WYV9	2.0
A0A087WYW1	409.525846017373	False	False	False	False	False	False	False	False	False	False	False	False	False	A0A087WYW1	1.0
A0A087WZ13	368500.227071968	False	False	False	False	False	False	False	False	False	False	False	False	False	A0A087WZ13	1.0
A0A087WZ33	1497.7670019144	False	False	False	False	False	False	False	False	False	False	False	False	False	A0A087WZ33	1.0
A0A087WZ38	59488.9807219152	False	False	False	False	False	False	False	False	False	False	False	False	False	A0A087WZ38	1.0
A0A087WZ51	104488.383821681	False	False	False	False	False	False	False	False	False	False	False	False	False	A0A087WZ51	1.0
A0A087WZ62	6478.30281454169	False	False	False	False	False	False	False	False	False	False	False	False	False	A0A087WZ62	3.0
A0A087WZ65	756.070533667289	False	False	False	False	False	False	False	False	False	False	False	False	False	A0A087WZ65	1.0
A0A087WZA9	57026.7662488136	False	False	False	False	False	False	False	False	False	False	False	False	False	A0A087WZA9	1.0
A0A087WZB5	47077.3167134901	False	False	False	False	False	False	False	False	False	False	False	False	False	A0A087WZB5	2.0
A0A087WZC7	183024.426469456	False	False	False	False	False	False	False	False	False	False	False	False	False	A0A087WZC7	0.0
A0A087WZE4	641.32781016226	False	False	False	False	False	False	False	False	False	False	False	False	False	A0A087WZE4	0.0
A0A087WZE9	6819.24203175833	False	False	False	False	False	False	False	False	False	False	False	False	False	A0A087WZE9	2.0
A0A087WZF1	463724.02790252	False	False	False	False	False	False	False	False	False	False	False	False	False	A0A087WZF1	2.0
A0A087WZF5	376.222631031033	False	False	False	False	False	False	False	False	False	False	False	False	False	A0A087WZF5	1.0
A0A087WZH7	1506992.02441367	False	False	False	False	False	False	False	False	False	False	False	False	False	A0A087WZH7	0.0
A0A087WZN1	620688.199522654	False	False	False	False	False	False	False	False	False	False	False	False	False	A0A087WZN1	2.0
A0A087WZN3	47549.7529020438	False	False	False	False	False	False	False	False	False	False	False	False	False	A0A087WZN3	1.0
A0A087WZR3	1351.65086881125	False	False	False	False	False	False	False	False	False	False	False	False	False	A0A087WZR3	0.0
A0A087WZW9	6914.28633840873	False	False	False	False	False	False	False	False	False	False	False	False	False	P01709	5.0
A0A087WZX2	847392.851722696	False	False	False	False	False	False	False	False	False	False	False	False	False	A0A087WZX2	2.0
A0A087WZY3	2239.55469212248	False	False	False	False	False	False	False	False	False	False	False	False	False	Q8TCU4	5.0
